"","v_names","v_label"
"300","hv101_02","relationship to head"
"301","hv101_03","relationship to head"
"302","hv101_04","relationship to head"
"303","hv101_05","relationship to head"
"304","hv101_06","relationship to head"
"305","hv101_07","relationship to head"
"306","hv101_08","relationship to head"
"307","hv101_09","relationship to head"
"308","hv101_10","relationship to head"
"309","hv101_11","relationship to head"
"310","hv101_12","relationship to head"
"311","hv101_13","relationship to head"
"312","hv101_14","relationship to head"
"313","hv101_15","relationship to head"
"314","hv101_16","relationship to head"
"315","hv101_17","relationship to head"
"316","hv101_18","relationship to head"
"317","hv101_19","relationship to head"
"318","hv101_20","relationship to head"
"319","hv101_21","relationship to head"
"320","hv101_22","relationship to head"
"321","hv101_23","relationship to head"
"322","hv101_24","relationship to head"
"323","hv101_25","relationship to head"
"324","hv101_26","relationship to head"
"325","hv101_27","relationship to head"
"326","hv101_28","relationship to head"
"327","hv101_29","relationship to head"
"328","hv101_30","relationship to head"
"329","hv101_31","relationship to head"
"330","hv101_32","relationship to head"
"331","hv101_33","relationship to head"
"332","hv101_34","relationship to head"
"333","hv101_35","relationship to head"
"334","hv102_01","usual resident"
"335","hv102_02","usual resident"
"336","hv102_03","usual resident"
"337","hv102_04","usual resident"
"338","hv102_05","usual resident"
"339","hv102_06","usual resident"
"340","hv102_07","usual resident"
"341","hv102_08","usual resident"
"342","hv102_09","usual resident"
"343","hv102_10","usual resident"
"344","hv102_11","usual resident"
"345","hv102_12","usual resident"
"346","hv102_13","usual resident"
"347","hv102_14","usual resident"
"348","hv102_15","usual resident"
"349","hv102_16","usual resident"
"350","hv102_17","usual resident"
"351","hv102_18","usual resident"
"352","hv102_19","usual resident"
"353","hv102_20","usual resident"
"354","hv102_21","usual resident"
"355","hv102_22","usual resident"
"356","hv102_23","usual resident"
"357","hv102_24","usual resident"
"358","hv102_25","usual resident"
"359","hv102_26","usual resident"
"360","hv102_27","usual resident"
"361","hv102_28","usual resident"
"362","hv102_29","usual resident"
"363","hv102_30","usual resident"
"364","hv102_31","usual resident"
"365","hv102_32","usual resident"
"366","hv102_33","usual resident"
"367","hv102_34","usual resident"
"368","hv102_35","usual resident"
"369","hv103_01","slept last night"
"370","hv103_02","slept last night"
"371","hv103_03","slept last night"
"372","hv103_04","slept last night"
"373","hv103_05","slept last night"
"374","hv103_06","slept last night"
"375","hv103_07","slept last night"
"376","hv103_08","slept last night"
"377","hv103_09","slept last night"
"378","hv103_10","slept last night"
"379","hv103_11","slept last night"
"380","hv103_12","slept last night"
"381","hv103_13","slept last night"
"382","hv103_14","slept last night"
"383","hv103_15","slept last night"
"384","hv103_16","slept last night"
"385","hv103_17","slept last night"
"386","hv103_18","slept last night"
"387","hv103_19","slept last night"
"388","hv103_20","slept last night"
"389","hv103_21","slept last night"
"390","hv103_22","slept last night"
"391","hv103_23","slept last night"
"392","hv103_24","slept last night"
"393","hv103_25","slept last night"
"394","hv103_26","slept last night"
"395","hv103_27","slept last night"
"396","hv103_28","slept last night"
"397","hv103_29","slept last night"
"398","hv103_30","slept last night"
"399","hv103_31","slept last night"
"400","hv103_32","slept last night"
"401","hv103_33","slept last night"
"402","hv103_34","slept last night"
"403","hv103_35","slept last night"
"404","hv104_01","sex of household member"
"405","hv104_02","sex of household member"
"406","hv104_03","sex of household member"
"407","hv104_04","sex of household member"
"408","hv104_05","sex of household member"
"409","hv104_06","sex of household member"
"410","hv104_07","sex of household member"
"411","hv104_08","sex of household member"
"412","hv104_09","sex of household member"
"413","hv104_10","sex of household member"
"414","hv104_11","sex of household member"
"415","hv104_12","sex of household member"
"416","hv104_13","sex of household member"
"417","hv104_14","sex of household member"
"418","hv104_15","sex of household member"
"419","hv104_16","sex of household member"
"420","hv104_17","sex of household member"
"421","hv104_18","sex of household member"
"422","hv104_19","sex of household member"
"423","hv104_20","sex of household member"
"424","hv104_21","sex of household member"
"425","hv104_22","sex of household member"
"426","hv104_23","sex of household member"
"427","hv104_24","sex of household member"
"428","hv104_25","sex of household member"
"429","hv104_26","sex of household member"
"430","hv104_27","sex of household member"
"431","hv104_28","sex of household member"
"432","hv104_29","sex of household member"
"433","hv104_30","sex of household member"
"434","hv104_31","sex of household member"
"435","hv104_32","sex of household member"
"436","hv104_33","sex of household member"
"437","hv104_34","sex of household member"
"438","hv104_35","sex of household member"
"439","hv105_01","age of household members"
"440","hv105_02","age of household members"
"441","hv105_03","age of household members"
"442","hv105_04","age of household members"
"443","hv105_05","age of household members"
"444","hv105_06","age of household members"
"445","hv105_07","age of household members"
"446","hv105_08","age of household members"
"447","hv105_09","age of household members"
"448","hv105_10","age of household members"
"449","hv105_11","age of household members"
"450","hv105_12","age of household members"
"451","hv105_13","age of household members"
"452","hv105_14","age of household members"
"453","hv105_15","age of household members"
"454","hv105_16","age of household members"
"455","hv105_17","age of household members"
"456","hv105_18","age of household members"
"457","hv105_19","age of household members"
"458","hv105_20","age of household members"
"459","hv105_21","age of household members"
"460","hv105_22","age of household members"
"461","hv105_23","age of household members"
"462","hv105_24","age of household members"
"463","hv105_25","age of household members"
"464","hv105_26","age of household members"
"465","hv105_27","age of household members"
"466","hv105_28","age of household members"
"467","hv105_29","age of household members"
"468","hv105_30","age of household members"
"469","hv105_31","age of household members"
"470","hv105_32","age of household members"
"471","hv105_33","age of household members"
"472","hv105_34","age of household members"
"473","hv105_35","age of household members"
"474","hv106_01","highest educational level attained"
"475","hv106_02","highest educational level attained"
"476","hv106_03","highest educational level attained"
"477","hv106_04","highest educational level attained"
"478","hv106_05","highest educational level attained"
"479","hv106_06","highest educational level attained"
"480","hv106_07","highest educational level attained"
"481","hv106_08","highest educational level attained"
"482","hv106_09","highest educational level attained"
"483","hv106_10","highest educational level attained"
"484","hv106_11","highest educational level attained"
"485","hv106_12","highest educational level attained"
"486","hv106_13","highest educational level attained"
"487","hv106_14","highest educational level attained"
"488","hv106_15","highest educational level attained"
"489","hv106_16","highest educational level attained"
"490","hv106_17","highest educational level attained"
"491","hv106_18","highest educational level attained"
"492","hv106_19","highest educational level attained"
"493","hv106_20","highest educational level attained"
"494","hv106_21","highest educational level attained"
"495","hv106_22","highest educational level attained"
"496","hv106_23","highest educational level attained"
"497","hv106_24","highest educational level attained"
"498","hv106_25","highest educational level attained"
"499","hv106_26","highest educational level attained"
"500","hv106_27","highest educational level attained"
"501","hv106_28","highest educational level attained"
"502","hv106_29","highest educational level attained"
"503","hv106_30","highest educational level attained"
"504","hv106_31","highest educational level attained"
"505","hv106_32","highest educational level attained"
"506","hv106_33","highest educational level attained"
"507","hv106_34","highest educational level attained"
"508","hv106_35","highest educational level attained"
"509","hv107_01","highest year of education completed"
"510","hv107_02","highest year of education completed"
"511","hv107_03","highest year of education completed"
"512","hv107_04","highest year of education completed"
"513","hv107_05","highest year of education completed"
"514","hv107_06","highest year of education completed"
"515","hv107_07","highest year of education completed"
"516","hv107_08","highest year of education completed"
"517","hv107_09","highest year of education completed"
"518","hv107_10","highest year of education completed"
"519","hv107_11","highest year of education completed"
"520","hv107_12","highest year of education completed"
"521","hv107_13","highest year of education completed"
"522","hv107_14","highest year of education completed"
"523","hv107_15","highest year of education completed"
"524","hv107_16","highest year of education completed"
"525","hv107_17","highest year of education completed"
"526","hv107_18","highest year of education completed"
"527","hv107_19","highest year of education completed"
"528","hv107_20","highest year of education completed"
"529","hv107_21","highest year of education completed"
"530","hv107_22","highest year of education completed"
"531","hv107_23","highest year of education completed"
"532","hv107_24","highest year of education completed"
"533","hv107_25","highest year of education completed"
"534","hv107_26","highest year of education completed"
"535","hv107_27","highest year of education completed"
"536","hv107_28","highest year of education completed"
"537","hv107_29","highest year of education completed"
"538","hv107_30","highest year of education completed"
"539","hv107_31","highest year of education completed"
"540","hv107_32","highest year of education completed"
"541","hv107_33","highest year of education completed"
"542","hv107_34","highest year of education completed"
"543","hv107_35","highest year of education completed"
"544","hv108_01","education completed in single years"
"545","hv108_02","education completed in single years"
"546","hv108_03","education completed in single years"
"547","hv108_04","education completed in single years"
"548","hv108_05","education completed in single years"
"549","hv108_06","education completed in single years"
"550","hv108_07","education completed in single years"
"551","hv108_08","education completed in single years"
"552","hv108_09","education completed in single years"
"553","hv108_10","education completed in single years"
"554","hv108_11","education completed in single years"
"555","hv108_12","education completed in single years"
"556","hv108_13","education completed in single years"
"557","hv108_14","education completed in single years"
"558","hv108_15","education completed in single years"
"559","hv108_16","education completed in single years"
"560","hv108_17","education completed in single years"
"561","hv108_18","education completed in single years"
"562","hv108_19","education completed in single years"
"563","hv108_20","education completed in single years"
"564","hv108_21","education completed in single years"
"565","hv108_22","education completed in single years"
"566","hv108_23","education completed in single years"
"567","hv108_24","education completed in single years"
"568","hv108_25","education completed in single years"
"569","hv108_26","education completed in single years"
"570","hv108_27","education completed in single years"
"571","hv108_28","education completed in single years"
"572","hv108_29","education completed in single years"
"573","hv108_30","education completed in single years"
"574","hv108_31","education completed in single years"
"575","hv108_32","education completed in single years"
"576","hv108_33","education completed in single years"
"577","hv108_34","education completed in single years"
"578","hv108_35","education completed in single years"
"579","hv109_01","educational attainment"
"580","hv109_02","educational attainment"
"581","hv109_03","educational attainment"
"582","hv109_04","educational attainment"
"583","hv109_05","educational attainment"
"584","hv109_06","educational attainment"
"585","hv109_07","educational attainment"
"586","hv109_08","educational attainment"
"587","hv109_09","educational attainment"
"588","hv109_10","educational attainment"
"589","hv109_11","educational attainment"
"590","hv109_12","educational attainment"
"591","hv109_13","educational attainment"
"592","hv109_14","educational attainment"
"593","hv109_15","educational attainment"
"594","hv109_16","educational attainment"
"595","hv109_17","educational attainment"
"596","hv109_18","educational attainment"
"597","hv109_19","educational attainment"
"598","hv109_20","educational attainment"
"599","hv109_21","educational attainment"
"600","hv109_22","educational attainment"
"601","hv109_23","educational attainment"
"602","hv109_24","educational attainment"
"603","hv109_25","educational attainment"
"604","hv109_26","educational attainment"
"605","hv109_27","educational attainment"
"606","hv109_28","educational attainment"
"607","hv109_29","educational attainment"
"608","hv109_30","educational attainment"
"609","hv109_31","educational attainment"
"610","hv109_32","educational attainment"
"611","hv109_33","educational attainment"
"612","hv109_34","educational attainment"
"613","hv109_35","educational attainment"
"614","hv110_01","na - member still in school"
"615","hv110_02","na - member still in school"
"616","hv110_03","na - member still in school"
"617","hv110_04","na - member still in school"
"618","hv110_05","na - member still in school"
"619","hv110_06","na - member still in school"
"620","hv110_07","na - member still in school"
"621","hv110_08","na - member still in school"
"622","hv110_09","na - member still in school"
"623","hv110_10","na - member still in school"
"624","hv110_11","na - member still in school"
"625","hv110_12","na - member still in school"
"626","hv110_13","na - member still in school"
"627","hv110_14","na - member still in school"
"628","hv110_15","na - member still in school"
"629","hv110_16","na - member still in school"
"630","hv110_17","na - member still in school"
"631","hv110_18","na - member still in school"
"632","hv110_19","na - member still in school"
"633","hv110_20","na - member still in school"
"634","hv110_21","na - member still in school"
"635","hv110_22","na - member still in school"
"636","hv110_23","na - member still in school"
"637","hv110_24","na - member still in school"
"638","hv110_25","na - member still in school"
"639","hv110_26","na - member still in school"
"640","hv110_27","na - member still in school"
"641","hv110_28","na - member still in school"
"642","hv110_29","na - member still in school"
"643","hv110_30","na - member still in school"
"644","hv110_31","na - member still in school"
"645","hv110_32","na - member still in school"
"646","hv110_33","na - member still in school"
"647","hv110_34","na - member still in school"
"648","hv110_35","na - member still in school"
"649","hv111_01","mother alive"
"650","hv111_02","mother alive"
"651","hv111_03","mother alive"
"652","hv111_04","mother alive"
"653","hv111_05","mother alive"
"654","hv111_06","mother alive"
"655","hv111_07","mother alive"
"656","hv111_08","mother alive"
"657","hv111_09","mother alive"
"658","hv111_10","mother alive"
"659","hv111_11","mother alive"
"660","hv111_12","mother alive"
"661","hv111_13","mother alive"
"662","hv111_14","mother alive"
"663","hv111_15","mother alive"
"664","hv111_16","mother alive"
"665","hv111_17","mother alive"
"666","hv111_18","mother alive"
"667","hv111_19","mother alive"
"668","hv111_20","mother alive"
"669","hv111_21","mother alive"
"670","hv111_22","mother alive"
"671","hv111_23","mother alive"
"672","hv111_24","mother alive"
"673","hv111_25","mother alive"
"674","hv111_26","mother alive"
"675","hv111_27","mother alive"
"676","hv111_28","mother alive"
"677","hv111_29","mother alive"
"678","hv111_30","mother alive"
"679","hv111_31","mother alive"
"680","hv111_32","mother alive"
"681","hv111_33","mother alive"
"682","hv111_34","mother alive"
"683","hv111_35","mother alive"
"684","hv112_01","mother's line number"
"685","hv112_02","mother's line number"
"686","hv112_03","mother's line number"
"687","hv112_04","mother's line number"
"688","hv112_05","mother's line number"
"689","hv112_06","mother's line number"
"690","hv112_07","mother's line number"
"691","hv112_08","mother's line number"
"692","hv112_09","mother's line number"
"693","hv112_10","mother's line number"
"694","hv112_11","mother's line number"
"695","hv112_12","mother's line number"
"696","hv112_13","mother's line number"
"697","hv112_14","mother's line number"
"698","hv112_15","mother's line number"
"699","hv112_16","mother's line number"
"700","hv112_17","mother's line number"
"701","hv112_18","mother's line number"
"702","hv112_19","mother's line number"
"703","hv112_20","mother's line number"
"704","hv112_21","mother's line number"
"705","hv112_22","mother's line number"
"706","hv112_23","mother's line number"
"707","hv112_24","mother's line number"
"708","hv112_25","mother's line number"
"709","hv112_26","mother's line number"
"710","hv112_27","mother's line number"
"711","hv112_28","mother's line number"
"712","hv112_29","mother's line number"
"713","hv112_30","mother's line number"
"714","hv112_31","mother's line number"
"715","hv112_32","mother's line number"
"716","hv112_33","mother's line number"
"717","hv112_34","mother's line number"
"718","hv112_35","mother's line number"
"719","hv113_01","father alive"
"720","hv113_02","father alive"
"721","hv113_03","father alive"
"722","hv113_04","father alive"
"723","hv113_05","father alive"
"724","hv113_06","father alive"
"725","hv113_07","father alive"
"726","hv113_08","father alive"
"727","hv113_09","father alive"
"728","hv113_10","father alive"
"729","hv113_11","father alive"
"730","hv113_12","father alive"
"731","hv113_13","father alive"
"732","hv113_14","father alive"
"733","hv113_15","father alive"
"734","hv113_16","father alive"
"735","hv113_17","father alive"
"736","hv113_18","father alive"
"737","hv113_19","father alive"
"738","hv113_20","father alive"
"739","hv113_21","father alive"
"740","hv113_22","father alive"
"741","hv113_23","father alive"
"742","hv113_24","father alive"
"743","hv113_25","father alive"
"744","hv113_26","father alive"
"745","hv113_27","father alive"
"746","hv113_28","father alive"
"747","hv113_29","father alive"
"748","hv113_30","father alive"
"749","hv113_31","father alive"
"750","hv113_32","father alive"
"751","hv113_33","father alive"
"752","hv113_34","father alive"
"753","hv113_35","father alive"
"754","hv114_01","father's line number"
"755","hv114_02","father's line number"
"756","hv114_03","father's line number"
"757","hv114_04","father's line number"
"758","hv114_05","father's line number"
"759","hv114_06","father's line number"
"760","hv114_07","father's line number"
"761","hv114_08","father's line number"
"762","hv114_09","father's line number"
"763","hv114_10","father's line number"
"764","hv114_11","father's line number"
"765","hv114_12","father's line number"
"766","hv114_13","father's line number"
"767","hv114_14","father's line number"
"768","hv114_15","father's line number"
"769","hv114_16","father's line number"
"770","hv114_17","father's line number"
"771","hv114_18","father's line number"
"772","hv114_19","father's line number"
"773","hv114_20","father's line number"
"774","hv114_21","father's line number"
"775","hv114_22","father's line number"
"776","hv114_23","father's line number"
"777","hv114_24","father's line number"
"778","hv114_25","father's line number"
"779","hv114_26","father's line number"
"780","hv114_27","father's line number"
"781","hv114_28","father's line number"
"782","hv114_29","father's line number"
"783","hv114_30","father's line number"
"784","hv114_31","father's line number"
"785","hv114_32","father's line number"
"786","hv114_33","father's line number"
"787","hv114_34","father's line number"
"788","hv114_35","father's line number"
"789","hv115_01","current marital status"
"790","hv115_02","current marital status"
"791","hv115_03","current marital status"
"792","hv115_04","current marital status"
"793","hv115_05","current marital status"
"794","hv115_06","current marital status"
"795","hv115_07","current marital status"
"796","hv115_08","current marital status"
"797","hv115_09","current marital status"
"798","hv115_10","current marital status"
"799","hv115_11","current marital status"
"800","hv115_12","current marital status"
"801","hv115_13","current marital status"
"802","hv115_14","current marital status"
"803","hv115_15","current marital status"
"804","hv115_16","current marital status"
"805","hv115_17","current marital status"
"806","hv115_18","current marital status"
"807","hv115_19","current marital status"
"808","hv115_20","current marital status"
"809","hv115_21","current marital status"
